annotator,instance,length,scenario,time,label,prediction
0,acl25789,170,s1,4.011,1,1
0,acl35683,244,s1,7.094,1,1
0,acl25750,74,s1,3.463,1,1
0,acl29681,251,s1,9.317,1,1
0,acl13800,53,s1,2.82,1,1
0,acl38057,229,s1,6.153,1,1
0,acl25356,74,s1,3.965,1,1
0,acl24171,106,s1,5.408,1,1
0,acl18797,215,s1,6.081,1,1
0,acl34834,312,s1,18.706,1,1
0,acl34821,180,s1,10.092,1,1
0,acl13934,78,s1,65.613,1,1
0,acl20282,47,s1,11.402,1,1
0,acl27183,227,s1,14.777,1,1
0,acl36470,271,s1,10.321,1,1
0,acl31346,64,s1,3.101,1,1
0,acl22012,142,s1,11.884,1,1
0,acl29910,195,s1,5.028,1,1
0,acl14281,35,s1,4.923,1,1
0,acl24695,237,s1,10.099,1,1
0,acl31213,210,s1,6.546,1,1
0,acl34890,246,s1,8.434,1,1
0,acl21564,231,s1,7.95,1,1
0,acl27537,56,s1,5.01,1,1
0,acl13947,61,s1,3.33,1,1
0,acl17893,117,s1,14.008,1,1
0,acl36691,74,s1,5.149,1,1
0,acl37358,153,s1,8.188,1,1
0,acl23769,266,s1,14.539,1,1
0,acl31128,332,s1,56.885,1,1
0,acl20937,58,s1,4.465,1,1
0,acl26673,73,s1,5.394,1,1
0,acl32893,75,s1,3.972,1,1
0,acl16891,155,s1,19.759,1,1
0,acl12290,88,s1,4.775,1,1
0,acl25340,121,s1,5.639,1,1
0,acl27850,216,s1,19.561,1,1
0,acl29667,116,s1,13.914,1,1
0,acl24257,93,s1,5.847,1,1
0,acl15257,114,s1,5.169,1,1
0,acl38745,507,s1,16.955,1,1
0,acl18256,67,s1,11.664,1,1
0,acl14400,21,s1,2.946,1,1
0,acl36264,216,s1,9.732,1,1
0,acl38825,186,s1,8.281,1,1
0,acl14125,81,s1,3.254,1,1
0,acl38975,335,s1,12.668,1,1
0,acl16563,102,s1,3.832,1,1
0,acl22415,356,s1,5.833,1,1
0,acl15836,68,s1,3.277,1,1
0,acl37705,78,s1,3.329,1,1
0,acl26468,76,s1,4.536,1,1
0,acl23400,69,s1,6.675,1,1
0,acl11799,46,s1,4.006,1,1
0,acl33730,179,s1,7.513,1,1
0,acl14423,19,s1,6.307,1,1
0,acl36098,33,s1,2.444,1,1
0,acl13980,76,s1,3.784,1,1
0,acl20847,58,s1,3.204,1,1
0,acl35550,174,s1,5.502,1,1
0,acl20367,50,s1,3.109,1,1
0,acl20990,70,s1,166.547,1,1
0,acl15187,46,s1,16.091,1,1
0,acl15610,70,s1,3.485,1,1
0,acl41096,187,s1,6.411,1,1
0,acl15604,53,s1,3.826,1,1
0,acl11919,49,s1,3.31,1,1
0,acl25725,49,s1,3.319,1,1
0,acl23395,675,s1,19.947,1,1
0,acl16624,22,s1,2.217,1,1
0,acl21319,69,s1,17.865,1,1
0,acl38325,222,s1,6.659,1,1
0,acl25089,118,s1,12.871,1,1
0,acl11910,80,s1,3.029,1,1
0,acl19547,50,s1,3.551,1,1
0,acl18787,295,s1,13.258,1,1
0,acl35645,250,s1,12.992,1,1
0,acl14869,63,s1,2.855,1,1
0,acl37536,421,s1,12.036,1,1
0,acl15997,74,s1,4.918,1,1
0,acl14016,65,s1,5.081,1,1
0,acl11319,83,s1,80.077,1,1
0,acl15152,52,s1,5.012,1,1
0,acl16545,100,s1,2.811,1,1
0,acl18587,72,s1,5.614,1,1
0,acl13064,67,s1,8.261,1,1
0,acl11720,31,s1,44.588,1,1
0,acl40968,225,s1,3.455,1,1
0,acl26776,242,s1,8.674,1,1
0,acl15631,48,s1,3.198,1,1
0,acl29403,77,s1,3.686,1,1
0,acl17339,72,s1,3.438,1,0
0,acl18791,221,s1,3.813,1,1
0,acl31061,121,s1,5.221,1,1
0,acl16497,83,s1,14.899,1,0
0,acl17681,86,s1,8.137,1,1
0,acl30554,329,s1,18.614,1,1
0,acl31038,68,s1,3.184,1,1
0,acl37305,154,s1,56.573,1,1
0,acl28211,123,s1,11.857,1,1
0,acl24521,223,s1,9.096,1,1
0,acl28284,358,s1,61.856,1,1
0,acl22744,131,s1,6.243,1,1
0,acl33691,101,s1,10.126,1,1
0,acl25341,64,s1,4.902,1,1
0,acl25638,293,s1,7.188,1,1
0,acl37984,104,s1,6.894,1,1
0,acl21552,329,s1,5.412,1,1
0,acl14518,33,s1,4.903,1,1
0,acl25916,125,s1,34.046,1,1
0,acl20429,65,s1,4.088,1,1
0,acl24031,164,s1,26.577,1,1
0,acl25859,76,s1,4.871,1,0
0,acl33631,72,s1,9.273,1,1
0,acl37064,184,s1,168.057,1,1
0,acl27859,299,s1,8.933,1,1
0,acl32228,258,s1,28.473,1,1
0,acl18092,74,s1,3.501,1,1
0,acl31746,132,s1,6.511,1,1
0,acl13123,63,s1,5.01,1,1
0,acl17396,144,s1,7.148,1,1
0,acl34557,612,s1,25.089,1,1
0,acl25727,51,s1,23.333,1,1
0,acl23377,232,s1,5.854,1,1
0,acl33887,87,s1,6.418,1,1
0,acl12970,47,s1,19.87,1,1
0,acl14973,188,s1,20.365,1,1
0,acl27511,108,s1,5.07,1,1
0,acl15583,101,s1,7.21,1,1
0,acl30884,437,s1,6.873,1,1
0,acl38483,120,s1,10.672,1,1
0,acl35904,174,s1,7.676,1,1
0,acl24139,105,s1,4.342,1,1
0,acl36038,87,s1,4.026,1,1
0,acl38489,243,s1,17.761,1,1
0,acl15804,77,s1,3.197,1,1
0,acl14465,60,s1,3.643,1,1
0,acl27482,188,s1,45.326,1,1
0,acl27106,102,s1,26.66,1,1
0,acl19445,64,s1,3.093,1,1
0,acl31228,285,s1,11.858,1,1
0,acl28823,178,s1,35.61,1,1
0,acl28153,115,s1,3.38,1,1
0,acl31950,279,s1,7.553,1,1
0,acl33775,78,s1,7.808,1,1
0,acl32234,317,s1,10.927,1,1
0,acl29383,173,s1,5.07,1,1
0,acl27532,84,s1,3.325,1,1
